name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
private bathroom / no stairs,De Pijp - Rivierenbuurt,52.350590000000004,4.90647,Private room,65,1,458,5.98,2,264
"Cosy apartment in ""De  Pijp""",De Pijp - Rivierenbuurt,52.35726,4.8876,Entire home/apt,85,3,10,0.13,1,0
Luxury design loft - Great location,Centrum-West,52.37422,4.894019999999999,Entire home/apt,204,3,50,0.69,1,0
E cosy 1 bedroom Jordaan apartment,Centrum-West,52.3764,4.88371,Entire home/apt,95,7,44,0.58,11,139
cozy 1 bedroom top floor Jordaan apartment,Centrum-West,52.37507,4.886419999999999,Entire home/apt,105,7,87,1.14,11,212
E cosy 1 bedroom Jordaan apartment 1,Centrum-West,52.37449,4.88645,Entire home/apt,95,7,79,1.03,11,2
"Lovely quiet fam house & garden,10 min from centre",Noord-West,52.40325,4.9195400000000005,Entire home/apt,150,3,25,0.33,1,102
New aprt @ top location / RAI,Zuid,52.34819,4.87766,Entire home/apt,100,1,27,0.36,2,262
Modern Loft - Top Location!,De Pijp - Rivierenbuurt,52.35479,4.88882,Entire home/apt,179,3,6,0.08,1,288
Family house with garden,De Baarsjes - Oud-West,52.36327,4.875719999999999,Entire home/apt,275,4,14,0.29,1,0
Connect-Inn: Bright Beauty,Slotervaart,52.35828,4.82487,Private room,60,2,236,3.14,3,352
Characteristic dike house in quiet area close to city centre,Oud-Noord,52.38937,4.92845,Entire home/apt,120,2,49,0.7,1,0
Easy accessible 2 bdrm apartment with big garden.,De Baarsjes - Oud-West,52.36038,4.8536,Entire home/apt,179,2,37,1.0,1,348
Classic sailing ship in Amsterdam,Oud-Noord,52.3997,4.89459,Private room,498,2,68,0.93,3,108
"Beautiful apartment, next to Vondelpark and center",De Baarsjes - Oud-West,52.36166,4.86637,Entire home/apt,85,2,0,,1,0
Stunning APT for-4 in lively Elandsgracht,De Baarsjes - Oud-West,52.36518,4.87783,Entire home/apt,105,7,44,0.92,9,0
"Central, 3 bedroom, 2 bathroom, (big) familie only",De Baarsjes - Oud-West,52.366620000000005,4.8761,Entire home/apt,325,2,17,0.23,1,0
Nice two floor apartment,De Baarsjes - Oud-West,52.367740000000005,4.866630000000001,Entire home/apt,100,2,1,0.02,1,0
Bright modern 2 bedroom apartment,De Baarsjes - Oud-West,52.3617,4.87139,Entire home/apt,320,3,44,0.6,1,98
Nice private studio on a houseboat and no sharing.,Oostelijk Havengebied - Indische Buurt,52.36995,4.94224,Private room,90,3,367,4.95,1,138
Spacious apartment near Vondelpark & Museum Square,Zuid,52.3484,4.846509999999999,Entire home/apt,90,2,12,0.54,1,0
Amsterdam centre with canal view!,De Baarsjes - Oud-West,52.36727,4.87574,Entire home/apt,199,4,17,0.3,1,321
Great Designer Apartment in centre,Centrum-Oost,52.35967,4.89395,Entire home/apt,300,3,58,0.79,1,0
Skyrocketing 2-level APT in CITY CENTRE | 70m2!,Centrum-West,52.37668,4.88253,Entire home/apt,84,15,25,0.33,9,192
"3st house 10 min from centre, perfect for families",Oud-Noord,52.3916,4.92628,Entire home/apt,160,4,1,0.11,1,0
Modern loft with amazing view,Oud-Oost,52.355579999999996,4.92623,Entire home/apt,135,1,97,1.42,1,26
Charming spacious house near park,Zuid,52.35557,4.85445,Entire home/apt,120,5,2,0.03,1,0
Hudge house close to Vondelpark,Zuid,52.35461,4.8754800000000005,Entire home/apt,466,3,19,0.33,1,13
"Light apartment, free parking",Noord-West,52.41302,4.91906,Entire home/apt,85,3,14,0.37,1,0
Lovely apartment with water view!,De Pijp - Rivierenbuurt,52.34965,4.88828,Entire home/apt,239,2,11,0.16,1,179
One of the monumental apartment,De Baarsjes - Oud-West,52.37117,4.87,Entire home/apt,115,5,50,0.68,1,108
Nice and bright apartment,Oud-Oost,52.35609,4.92265,Entire home/apt,75,4,2,0.03,1,0
Nice apartment near City Center,Bos en Lommer,52.37576,4.86089,Entire home/apt,225,2,70,1.16,1,157
Modern & spacious family home nr Sloterdijk st,Geuzenveld - Slotermeer,52.38428,4.83754,Entire home/apt,177,2,10,0.14,1,0
Spacious Apartment close to RAI,De Pijp - Rivierenbuurt,52.342929999999996,4.90264,Entire home/apt,165,6,45,0.61,1,0
Comfy apt. + garden & greenhouse,Oostelijk Havengebied - Indische Buurt,52.36292,4.9352800000000006,Entire home/apt,129,5,91,1.21,1,155
A Beautiful Appartment in Amsterdam,De Pijp - Rivierenbuurt,52.35646,4.90209,Entire home/apt,140,4,34,0.47,1,34
Cozy apartment Jordaan district,Centrum-West,52.37328,4.88065,Entire home/apt,95,2,73,0.98,1,0
Monumental Cozy Apartment + Garden,Westerpark,52.39159,4.87204,Entire home/apt,150,2,9,0.12,1,0
Lovely loft next to the Vondelpark,Zuid,52.35604,4.8564099999999994,Entire home/apt,160,1,97,1.35,1,225
Spacious City Apartment Oud-West ,De Baarsjes - Oud-West,52.37015,4.866280000000001,Entire home/apt,150,5,28,0.39,1,0
Cosy & authentic in Westerpark,Westerpark,52.384679999999996,4.87144,Entire home/apt,115,2,126,1.75,1,2
Apartment Bright&Modern Amsterdam near Vondelpark,Zuid,52.34908,4.84836,Entire home/apt,150,2,1,0.02,1,97
Spacious oud-west apartment,De Baarsjes - Oud-West,52.37174,4.87105,Entire home/apt,99,1,18,0.25,1,204
Apartment in Oud West Amsterdam,De Baarsjes - Oud-West,52.36079,4.86245,Entire home/apt,109,4,101,1.37,1,0
Gezellige kamer dichtbij centrum Amsterdam,De Baarsjes - Oud-West,52.37395,4.86327,Private room,85,3,10,0.44,1,0
Sunny Amsterdam Apartment (baby proof) 65m2,Bos en Lommer,52.377520000000004,4.85465,Entire home/apt,175,20,1,0.15,1,0
"PRIVATE, STYLISH APARTMENT on HOUSEBOAT + bikes",Westerpark,52.395990000000005,4.880730000000001,Private room,115,2,258,3.64,1,1
★Bright&quiet apt South★ Vondelpark & Museum Area,Zuid,52.3498,4.84623,Entire home/apt,175,5,8,0.19,1,0
The perfect Get Away,Westerpark,52.38459,4.87398,Entire home/apt,109,3,14,0.19,1,0
Stunning loft at canals + parking,De Baarsjes - Oud-West,52.37077,4.8684400000000005,Entire home/apt,150,1,0,,1,0
Charming 2 bedroom apartment West,Westerpark,52.38838,4.88774,Entire home/apt,175,2,31,0.42,1,0
"Waterside family villa, freeparking",IJburg - Zeeburgereiland,52.352470000000004,4.99287,Entire home/apt,295,6,0,,2,0
Private studio room in De Pijp,De Pijp - Rivierenbuurt,52.352579999999996,4.90359,Private room,80,1,142,1.94,1,228
Lovely apartment in beautiful Oosterpark,Oud-Oost,52.35901,4.91424,Entire home/apt,105,3,40,0.53,1,0
Jordaan Canal House,Centrum-West,52.375659999999996,4.88146,Entire home/apt,149,5,37,0.54,2,9
Beautiful apartment with a terras,Bos en Lommer,52.375370000000004,4.85404,Entire home/apt,185,4,16,0.22,1,28
Large Family House Centre Amsterdam,Centrum-Oost,52.36103,4.9083,Entire home/apt,425,4,7,0.11,1,69
Historic houseboat in city centre,Centrum-West,52.37699,4.8935,Entire home/apt,399,3,64,0.85,1,81
"Sunny family app w garden, n center",Oud-Oost,52.35637,4.91608,Entire home/apt,175,3,17,0.23,1,155
Charming apt on superb location!,Zuid,52.35021,4.85797,Entire home/apt,190,4,0,,1,0
Children friendly home ,De Baarsjes - Oud-West,52.36865,4.85471,Entire home/apt,300,3,13,0.18,1,0
Spacious Loft with Canal View near Jordaan,Westerpark,52.376020000000004,4.8717,Entire home/apt,600,7,5,0.1,1,362
"Spacious, between 2 canals, off hip-street",Oostelijk Havengebied - Indische Buurt,52.36821,4.941669999999999,Entire home/apt,99,5,6,0.08,1,17
Lovely family friendly bohemian apartment,Oud-Noord,52.3927,4.91509,Entire home/apt,115,2,79,1.08,1,327
Spacious apartment Hotspot Pijp,De Pijp - Rivierenbuurt,52.35304,4.9008,Entire home/apt,179,5,55,0.8,1,16
Canal side Design Apartment & 5* Hosting!,Centrum-Oost,52.36073,4.88896,Entire home/apt,169,5,31,0.45,1,175
Nice and cosy apartment in Oud West,De Baarsjes - Oud-West,52.36527,4.86106,Entire home/apt,120,2,38,0.52,1,0
STUNNING 90 m2 loft in the centre,De Pijp - Rivierenbuurt,52.35606,4.89882,Entire home/apt,180,14,1,0.01,1,0
Big houseboat on prime location (with fireplace!),Oostelijk Havengebied - Indische Buurt,52.371159999999996,4.9438699999999995,Entire home/apt,160,2,17,0.23,1,18
Cosy appartement with garden!,De Pijp - Rivierenbuurt,52.349920000000004,4.88794,Entire home/apt,110,2,0,,1,0
"Appartment near the centre, with rooftop terrace!",Zuid,52.35454,4.85635,Entire home/apt,150,1,0,,1,0
AMAZING LIGHT DESIGN APT IN CENTRE!,Centrum-Oost,52.36111,4.888,Entire home/apt,215,3,10,0.16,1,0
Cosy apartment in De  Pijp bed and breakfast,De Pijp - Rivierenbuurt,52.35437,4.89783,Entire home/apt,320,2,62,0.94,2,259
Spacious Family Appartement,Zuid,52.3526,4.85305,Entire home/apt,300,3,11,0.16,1,15
Old port of Amsterdam,Centrum-Oost,52.37366,4.9052,Private room,115,2,185,2.51,2,0
Cozy spacious 70m2 fully furnished,Oostelijk Havengebied - Indische Buurt,52.36264,4.94566,Entire home/apt,70,2,7,0.09,1,0
Family home by city center/park,Zuid,52.35264,4.84805,Entire home/apt,175,4,4,0.05,2,0
"Spacious maisonette, de Plantage - Artis zoo",Centrum-Oost,52.36971,4.913819999999999,Entire home/apt,230,4,6,0.14,1,0
Spacious apartment 'Old garage',De Pijp - Rivierenbuurt,52.35344,4.8924199999999995,Entire home/apt,150,3,17,0.23,1,0
Authentic Amsterdam living,Zuid,52.345729999999996,4.86752,Entire home/apt,175,7,49,0.67,1,204
Lovely Flat in Historic Red Light,Centrum-West,52.37334,4.8949300000000004,Entire home/apt,235,3,31,0.46,1,347
"Two-level 90m2 app, close to metro",Oud-Oost,52.355090000000004,4.9153400000000005,Entire home/apt,500,4,10,0.17,1,88
"Room, own access close to center",De Baarsjes - Oud-West,52.369479999999996,4.86118,Private room,43,5,42,0.71,1,45
140m2  apartment@ BEST location/RAI,Zuid,52.34644,4.8779699999999995,Entire home/apt,500,5,3,0.04,2,363
"Central flat, modern place, rooftop",Centrum-West,52.3803,4.89323,Entire home/apt,240,3,18,0.25,1,0
Beautiful apartment in 'de pijp',De Pijp - Rivierenbuurt,52.35179,4.89578,Entire home/apt,109,3,25,0.34,1,0
Beautiful New Loft near Vondelpark 40m2 Roofterras,De Baarsjes - Oud-West,52.3691,4.85985,Entire home/apt,79,3,8,0.22,1,263
Quiet 65m2 apt close to the centre,De Baarsjes - Oud-West,52.36213,4.85197,Entire home/apt,48,1,5,0.08,1,0
Nice and Cosy 4 room apartment,Slotervaart,52.37053,4.84136,Entire home/apt,97,3,63,0.85,38,30
"Spacious, Bright & Well located apt@ Cool West",De Baarsjes - Oud-West,52.36472,4.85398,Entire home/apt,120,3,12,0.37,1,0
Prestigious Canal House Centre.,Centrum-Oost,52.36458,4.88552,Entire home/apt,350,1,34,0.97,1,107
Modern and spacious appartment! ,Oostelijk Havengebied - Indische Buurt,52.35941,4.94462,Entire home/apt,109,5,43,0.58,1,0
cozy room w/ private sink & shower,De Pijp - Rivierenbuurt,52.3562,4.90422,Private room,57,1,102,1.39,1,229
Sunny apartment in East Amsterdam,Oostelijk Havengebied - Indische Buurt,52.3633,4.93853,Entire home/apt,80,1,4,0.09,1,0
Large bedroom in cosy flat near Jordaan/center,Westerpark,52.37904,4.87155,Private room,62,2,4,0.09,1,0
"Light 4BD, with balcony ",Oostelijk Havengebied - Indische Buurt,52.36271,4.9364300000000005,Entire home/apt,85,3,1,0.02,1,0
Canal Villa Apartment + Roofgarden,Centrum-Oost,52.36609,4.91064,Entire home/apt,695,2,54,0.74,2,186
Spacious and Light Family Home ,Westerpark,52.38863,4.87854,Entire home/apt,210,3,51,0.7,1,0
City apartment (85m2),Centrum-Oost,52.3598,4.8946,Entire home/apt,250,3,10,0.2,1,0
Lovely house +garden +free parking!,Noord-Oost,52.39477,4.93171,Entire home/apt,150,7,6,0.09,1,107
Cozy apartment in Amsterdam ,De Baarsjes - Oud-West,52.36602,4.85484,Entire home/apt,75,2,4,0.05,1,0
Private Houseboat~City Center,Centrum-West,52.3851,4.88665,Entire home/apt,250,3,28,0.39,1,17
"A nice, spacious & luxury apartment",Zuid,52.354929999999996,4.85513,Entire home/apt,250,2,24,0.37,1,339
Lovely suite in the Jordaan,Centrum-West,52.38194,4.88223,Private room,170,3,5,0.09,2,265
Cosy house in Monumental area,Oud-Noord,52.38997,4.945469999999999,Entire home/apt,99,2,31,0.43,1,0
Last Minute to Amsterdam in February,De Baarsjes - Oud-West,52.37311,4.86022,Entire home/apt,95,3,2,0.05,1,0
Elegant Jordaan Apartment,Centrum-West,52.38218,4.88181,Private room,170,3,1,0.02,2,282
"Amsterdam Loft ""Like"" Apartment in Prime Location",Centrum-West,52.367290000000004,4.8834800000000005,Entire home/apt,180,3,24,0.73,1,0
"Stylish, Quiet Appartement & Veranda",De Baarsjes - Oud-West,52.36388,4.85002,Entire home/apt,109,3,97,1.3,1,0
Kidsproof huis naast cultuurpark   ,Westerpark,52.38378,4.86908,Entire home/apt,169,2,53,0.73,1,79
Bright 2-room apartment for couples,Oostelijk Havengebied - Indische Buurt,52.36253,4.93394,Entire home/apt,80,1,6,0.08,1,0
Cozy & comfortable app. in Oud-Zuid,Zuid,52.34789,4.86139,Entire home/apt,120,4,43,0.59,1,0
Cosy Apt. 10min. from the 9 streets,De Baarsjes - Oud-West,52.37123,4.86533,Entire home/apt,115,2,21,0.29,1,0
Modern park villa in city center,Centrum-Oost,52.3678,4.93213,Entire home/apt,275,3,9,0.12,1,0
Canal view Romantic Flat,De Baarsjes - Oud-West,52.369209999999995,4.87344,Entire home/apt,175,2,2,0.04,2,206
Lovely appartement near the Jordaan,Westerpark,52.37733,4.87668,Entire home/apt,110,2,25,0.74,1,0
Canal house; 3 bedr & 3 bathr,Centrum-Oost,52.36107,4.895169999999999,Entire home/apt,500,7,0,,1,0
Stylish houseboot in city center - 70 m2,Centrum-Oost,52.37259,4.90517,Entire home/apt,150,3,13,0.2,1,0
Nice appartment in Amsterdam,Slotervaart,52.3562,4.83205,Entire home/apt,130,4,43,0.59,1,274
Experience Amsterdam Centre,De Baarsjes - Oud-West,52.36868,4.87324,Entire home/apt,139,2,56,0.94,1,1
Lovely city apartment for two!,Westerpark,52.37399,4.86901,Entire home/apt,95,10,11,0.15,1,0
Apartment in centre of Amsterdam,Centrum-Oost,52.36782,4.92811,Entire home/apt,100,3,23,0.57,1,1
"Spacious apartment, 10min to centre",Bos en Lommer,52.37545,4.85873,Entire home/apt,99,2,12,0.19,2,0
Sunny 80m2 two floor appartment!,Oud-Noord,52.39586,4.91646,Entire home/apt,100,2,29,0.48,1,0
"Great apartment, view over Amstel!",Oud-Oost,52.35252,4.91098,Entire home/apt,139,3,0,,1,0
"Beautiful app. Centr, Waterlooplein",Centrum-Oost,52.36773,4.90385,Entire home/apt,99,2,14,0.19,1,0
"Studio MAZZO, canal apartment",Centrum-West,52.379909999999995,4.8894,Private room,200,7,317,4.27,1,331
2 bedroom apartment with garden near Vondelpark,Zuid,52.34956,4.849,Entire home/apt,214,2,37,0.54,1,93
top location centre Amsterdam,Centrum-West,52.38196,4.88825,Private room,79,3,282,3.76,2,344
Neat Apartment next to Oosterpark,Oud-Oost,52.35644,4.91265,Entire home/apt,90,2,16,0.47,1,0
Lovely houseboat and two cats are waiting for you!,Noord-West,52.41045,4.90144,Entire home/apt,60,3,7,0.16,1,0
Luxerious houseboat Amsterdam,Westerpark,52.38038,4.86895,Entire home/apt,386,2,20,0.35,2,0
Childfriendly home in Amsterdam,De Baarsjes - Oud-West,52.36636,4.85325,Entire home/apt,150,4,15,0.21,1,0
Trendy one bedroom appartment! ,Watergraafsmeer,52.3508,4.93236,Entire home/apt,110,3,32,0.43,1,5
cousy place in north Amsterdam,Noord-West,52.40915,4.8904,Entire home/apt,95,14,0,,1,0
Apt.(155m2) + Roof terrace (75m2),Zuid,52.350970000000004,4.85701,Entire home/apt,300,3,39,0.54,1,0
Comfortable home in trendy East,Oud-Oost,52.360690000000005,4.93039,Entire home/apt,150,5,4,0.06,1,0
SPECIAL PRICE View to a Kill,De Baarsjes - Oud-West,52.36347,4.86108,Entire home/apt,145,2,76,1.02,1,214
"5star roofterrace penthouse, no cleaning costs",De Baarsjes - Oud-West,52.37018,4.86688,Entire home/apt,180,4,37,0.51,1,35
Lovely apartment in the Jordaan | City centre | 2P,Centrum-West,52.37532,4.8829,Entire home/apt,150,2,30,0.42,1,0
Charming Canal house City Centre 4p,Centrum-Oost,52.3719,4.90437,Entire home/apt,168,3,435,5.93,1,71
Bright apartment near center,Bos en Lommer,52.38345,4.855630000000001,Entire home/apt,95,4,50,0.69,1,0
pay a little more   get a lot more,Centrum-West,52.37944,4.88488,Entire home/apt,235,3,12,0.16,1,365
Homely family apartment (central),Oud-Oost,52.353159999999995,4.91651,Entire home/apt,200,6,7,0.1,1,0
Private bedroom in a 17th century canal storehouse,Centrum-West,52.38337,4.8851,Private room,107,1,432,5.82,1,260
Charming waterfront view 10 min walking to center,Oostelijk Havengebied - Indische Buurt,52.37871,4.92794,Entire home/apt,190,3,2,0.28,1,363
Stylish apartment in the citycenter,Centrum-West,52.37255,4.8976,Private room,99,2,496,6.69,1,142
Downtown - Amsterdam city centre,Centrum-West,52.37534,4.892530000000001,Private room,95,2,153,2.08,2,47
Cosy apartment with free parking,Oud-Noord,52.3995,4.916869999999999,Entire home/apt,125,1,45,0.61,2,0
130 m2 cozy city apartment,Westerpark,52.38613,4.87686,Entire home/apt,300,4,42,0.59,1,20
⭐️ Family house | Private Parking (Free) ⭐️,Bos en Lommer,52.3822,4.8473,Entire home/apt,149,3,20,0.28,1,17
Cozy studio with Terrace and Airco,Zuid,52.35855,4.88103,Private room,93,1,558,7.56,1,247
"Clean, light and cozy appartment",Zuid,52.34673,4.85979,Entire home/apt,100,2,77,1.05,1,108
Charming house with garden,Oostelijk Havengebied - Indische Buurt,52.3627,4.93715,Entire home/apt,91,1,85,1.16,1,107
"Comfortable, spacious double room",Oud-Oost,52.3561,4.923769999999999,Private room,73,2,10,0.2,2,0
Our lovely home in de pijp,De Pijp - Rivierenbuurt,52.34836,4.89652,Entire home/apt,120,2,7,0.22,1,0
"Two private rooms in cosy apartment in ""de Pijp""",De Pijp - Rivierenbuurt,52.35089,4.894369999999999,Private room,79,2,59,0.81,1,261
Typical Amsterdam City 1930's Flat!,De Pijp - Rivierenbuurt,52.34023,4.90435,Entire home/apt,100,2,72,0.99,1,0
Centre Jordaan West Canalview,Centrum-West,52.37288,4.87605,Entire home/apt,266,3,41,0.56,1,1
New! Modern & cozy studio at Eastern Docklands | 2P,Oostelijk Havengebied - Indische Buurt,52.37485,4.9465900000000005,Private room,59,1,38,0.52,1,331
Luxurious home in city centre,De Pijp - Rivierenbuurt,52.35389,4.89545,Entire home/apt,195,7,11,0.15,1,64
Paradise in De Pijp! NEW,De Pijp - Rivierenbuurt,52.35451,4.89214,Entire home/apt,180,2,31,0.44,1,10
Spacious family house with garden,De Baarsjes - Oud-West,52.36585,4.87225,Entire home/apt,249,4,26,0.37,1,110
Room to Rent Amsterdam ,Bos en Lommer,52.38371,4.85473,Private room,55,3,190,2.59,1,342
Tuinhuis (garden House),Oud-Noord,52.38878,4.9029,Entire home/apt,75,2,59,1.08,1,113
House w/ sunny garden & 2 bikes!,De Baarsjes - Oud-West,52.36649,4.85499,Entire home/apt,140,2,53,0.72,1,0
Prinsengracht Cozy Retreat,Centrum-Oost,52.36173,4.8922300000000005,Private room,140,2,261,3.6,1,61
Amsterdam family house with garden,Watergraafsmeer,52.34885,4.93895,Entire home/apt,200,5,1,0.02,1,107
Licht appartement in Amsterdam Zuid,Zuid,52.348659999999995,4.84704,Entire home/apt,120,2,29,0.4,1,73
Quiet-Cosy-Comfy-Stylish-Central,De Baarsjes - Oud-West,52.3719,4.862769999999999,Entire home/apt,99,3,92,1.29,1,107
Comfy 2p apt. 10 min from center!,De Baarsjes - Oud-West,52.37296,4.8509,Entire home/apt,99,4,53,0.73,1,5
Modern house with garage & terrace,Oostelijk Havengebied - Indische Buurt,52.37415,4.94683,Entire home/apt,400,4,5,0.07,1,116
Nice apartment at the Vondelpark,De Baarsjes - Oud-West,52.35988,4.864809999999999,Entire home/apt,149,3,28,0.38,1,0
"Cosy, Quiet & Stylish close to Jordaan and Centre!",Westerpark,52.3797,4.87801,Entire home/apt,155,3,54,0.73,1,0
*Beautiful *lakeside*family-house,Noord-Oost,52.4143,5.02769,Entire home/apt,200,4,12,0.17,1,0
Big bright room on the water,Slotervaart,52.36942,4.8368,Private room,100,2,97,1.32,1,0
Amazing apartment in Amsterdam,Buitenveldert - Zuidas,52.32724,4.8787400000000005,Entire home/apt,95,2,0,,1,0
Houseboat overlooking the Amstel,Watergraafsmeer,52.33757,4.90762,Entire home/apt,90,1,27,0.38,1,0
"House boat,hart of center Amsterdam",Centrum-Oost,52.374359999999996,4.9019699999999995,Entire home/apt,375,3,66,0.91,1,1
Cosy single basementroom CENTRE,De Baarsjes - Oud-West,52.36537,4.87554,Private room,56,3,159,2.35,2,149
ONLY families with kids- family house with garden,Oud-Noord,52.39653,4.915830000000001,Entire home/apt,175,4,6,0.08,1,0
"Great Apartment, Central location & Quiet",Oud-Oost,52.3614,4.91862,Entire home/apt,170,2,69,0.95,2,162
Sunny Nice Canal Apartment,Westerpark,52.37781,4.87688,Entire home/apt,99,3,24,0.33,1,3
Beautiful Sunny Family Penthouse,De Pijp - Rivierenbuurt,52.34245,4.9097,Entire home/apt,213,3,30,0.41,1,26
Central & Beautiful!,Westerpark,52.37847,4.87628,Entire home/apt,149,7,30,0.42,1,76
"Modern, light & fully equiped apt!",Westerpark,52.37443,4.86866,Entire home/apt,145,2,7,0.1,1,46
Central apartment with parkview,Bos en Lommer,52.3747,4.85011,Entire home/apt,119,3,34,0.58,1,118
Stylish and warm home + garden. Perfect location.,Zuid,52.352470000000004,4.88225,Entire home/apt,290,3,24,0.67,1,21
Spacious Bedroom in Nice Apartment - Old West,De Baarsjes - Oud-West,52.370490000000004,4.85541,Private room,68,2,67,0.91,5,0
Cosy Modern Apt w/ Balcony | Buzzing de Pijp Area,De Pijp - Rivierenbuurt,52.35395,4.89836,Entire home/apt,175,2,8,0.13,1,0
loft family apartment in Jordaan,Centrum-West,52.37865,4.8825400000000005,Entire home/apt,230,5,5,0.07,1,0
Stylish room in our garden near the centre,Oud-Oost,52.35351,4.91662,Private room,70,2,183,2.5,1,0
Twin room,Zuid,52.35485,4.8545,Private room,50,30,253,3.52,2,1
Amsterdam Concertgebouwbuurt,Zuid,52.3529,4.8775699999999995,Entire home/apt,110,3,9,0.13,1,109
Sunny room in center Amsterdam,Centrum-Oost,52.36655,4.9087,Private room,73,2,447,6.06,1,231
Private Room in Amsterdam Oost,Oud-Oost,52.36152,4.93122,Private room,65,2,236,3.39,2,289
Cosy basementroom on great location,De Baarsjes - Oud-West,52.36776,4.876519999999999,Private room,84,3,52,0.77,2,152
Unique city centre apartment with canal view.,Centrum-West,52.37227,4.8751,Entire home/apt,190,1,18,0.27,1,2
Spacious canal penthouse Jordaan,Centrum-West,52.37852,4.88811,Entire home/apt,210,2,51,0.69,1,108
Room with a view,Oostelijk Havengebied - Indische Buurt,52.36809,4.9436,Private room,69,1,7,0.1,1,0
Central Modern Comfortabel Amsterdam Apartment,Westerpark,52.374970000000005,4.87361,Entire home/apt,145,2,31,0.42,1,5
Amsterdam Centrum met dakterras voor niet-rokers,Centrum-West,52.38425,4.88349,Entire home/apt,136,3,70,1.03,1,1
"B&B Reijgershof ""Art Deco room"" private bathroom",Gaasperdam - Driemond,52.31015,5.0007,Hotel room,75,1,91,1.25,5,315
Beautiful spacious 3 bedroom familyhouse w garden.,Watergraafsmeer,52.35233,4.92968,Entire home/apt,227,3,42,0.58,1,193
"B&B Reijgershof ""Barok room"" private bathroom",Gaasperdam - Driemond,52.31044,5.000719999999999,Hotel room,98,1,60,0.83,5,344
Best location in Amsterdam! (old city center),Centrum-West,52.36955,4.881130000000001,Private room,140,3,279,3.8,1,174
Spacious aparment with small garden,Centrum-West,52.38218,4.88491,Entire home/apt,200,4,8,0.11,1,350
"B&B Reijgershof ""Balinese Suite""",Gaasperdam - Driemond,52.3101,4.99907,Hotel room,98,1,53,0.73,5,356
"B&B Reijgershof ""Chinese Suite"" private bathroom",Gaasperdam - Driemond,52.31241,5.0004800000000005,Hotel room,98,1,32,0.45,5,363
appartment with garden 19/7 - 18/8,Bos en Lommer,52.37623,4.8472599999999995,Entire home/apt,100,3,80,1.12,1,112
City house with garden,De Baarsjes - Oud-West,52.3653,4.85152,Entire home/apt,80,5,33,0.45,1,174
Spacious home near Centre and Vondelpark,Zuid,52.35048,4.87795,Entire home/apt,130,2,8,0.11,1,0
The brickwall - De Pijp district,De Pijp - Rivierenbuurt,52.35365,4.8996699999999995,Entire home/apt,145,2,55,0.75,1,0
Apartment @ Amsterdam Canals,Centrum-West,52.37039,4.88375,Entire home/apt,405,5,7,0.16,1,0
Exquisite apartment in Amsterdam,De Pijp - Rivierenbuurt,52.357490000000006,4.890680000000001,Entire home/apt,139,2,162,2.23,1,81
Benedenappartement A'dam-Zuid,Zuid,52.344840000000005,4.86417,Entire home/apt,75,5,0,,1,0
Family house on shores Amsterdam IJ,Noord-Oost,52.38466,4.95789,Entire home/apt,199,5,13,0.2,1,108
Luxury Urban Cottage + two bikes,Oud-Noord,52.38943,4.9368,Entire home/apt,140,5,10,0.14,1,0
Soulful roofterrace apartment,De Baarsjes - Oud-West,52.36541,4.85198,Entire home/apt,125,3,79,1.1,1,143
Lovely apartment Amsterdam center,De Pijp - Rivierenbuurt,52.35175,4.88761,Entire home/apt,130,14,45,0.63,1,31
Sunny house 30mtrs garden near Adam,Osdorp,52.36298,4.76326,Entire home/apt,115,14,59,0.81,1,319
Jordaan 1896 monumental House 70 m2 (+ 2 bikes),Centrum-West,52.37657,4.879580000000001,Entire home/apt,321,2,69,0.94,1,233
Studio Amsterdam centre,Centrum-Oost,52.35927,4.89156,Entire home/apt,120,4,58,0.79,1,0
Close to everything you need :-),Zuid,52.34854,4.86204,Private room,55,4,4,0.06,1,0
Cute apartment with balcony near city centre,Bos en Lommer,52.37775,4.855169999999999,Entire home/apt,155,2,9,0.19,1,0
sunny top floor apartment in,Oostelijk Havengebied - Indische Buurt,52.36515,4.9360800000000005,Entire home/apt,120,1,11,0.18,1,0
Perfect for couple or family,De Baarsjes - Oud-West,52.36715,4.85559,Entire home/apt,220,3,10,0.63,1,218
Best value apartment in vibrant nbh,Oostelijk Havengebied - Indische Buurt,52.36365,4.93776,Entire home/apt,120,2,48,0.66,1,0
Clean Cosy Central!,De Baarsjes - Oud-West,52.36314,4.8638900000000005,Entire home/apt,183,3,74,1.01,1,108
Luxury Apartment In Heart of City,Zuid,52.35416,4.87907,Entire home/apt,215,2,21,0.29,1,0
Warehouse app. in spacius workshop 1,Oud-Noord,52.393809999999995,4.90867,Entire home/apt,325,1,280,3.91,3,259
nice apartment for 2,Centrum-Oost,52.37154,4.90365,Entire home/apt,125,4,16,0.22,1,0
Spacious family house nearby centre,De Baarsjes - Oud-West,52.36355,4.8505199999999995,Entire home/apt,245,2,86,1.18,1,188
Cheerful & Bright Apartment in Amsterdam,Oostelijk Havengebied - Indische Buurt,52.363659999999996,4.93527,Entire home/apt,115,3,7,0.16,1,0
Amsterdam at its best!,Centrum-Oost,52.36927,4.926419999999999,Entire home/apt,100,3,2,0.03,1,0
