name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
"all private, art @ home in city center-1",Centrum-West,52.36571,4.88464,Private room,89,4,386,3.94,2,216
Lovely self contained studio in Oud West,De Baarsjes - Oud-West,52.36888,4.86955,Private room,87,3,545,5.09,1,267
Retro Luxury Apartment,Bos en Lommer,52.38193,4.85541,Entire home/apt,99,2,151,1.43,3,0
Large private room for rent Center / De Pijp,De Pijp - Rivierenbuurt,52.35517,4.88969,Private room,80,2,29,0.28,1,0
Entire house with garden in De Pijp,De Pijp - Rivierenbuurt,52.353609999999996,4.90562,Private room,259,3,97,0.96,1,125
Houseboat with beautiful view,Zuid,52.34751,4.84963,Entire home/apt,193,2,28,0.28,1,0
light modern & cosy apartment,Oostelijk Havengebied - Indische Buurt,52.36461,4.9389199999999995,Entire home/apt,98,7,86,0.8,2,17
Bright room in lively Kinkerbuurt,De Baarsjes - Oud-West,52.3686,4.86487,Private room,52,2,4,0.22,1,0
Apartment 2 minutes from Centrum!,Oud-Oost,52.36528,4.9301,Entire home/apt,90,7,21,0.2,1,0
Modern app. with brand new design bathroom,De Baarsjes - Oud-West,52.36368,4.85506,Entire home/apt,145,3,55,0.62,1,114
Amsterdam at your feet,De Baarsjes - Oud-West,52.37336,4.85754,Entire home/apt,74,2,41,0.6,1,0
"SUPERLOCATED Room in  CANALHOUSE, Private bath",Centrum-West,52.37956,4.8935900000000006,Private room,115,2,256,2.46,2,0
"Central,Rooftop 360',Zen,Canal-View, Bright,Quiet",Centrum-West,52.38172,4.8831,Entire home/apt,165,7,22,0.21,1,0
Spacious apartment next to center,De Baarsjes - Oud-West,52.36916,4.86643,Entire home/apt,120,3,103,0.97,1,0
Authentic Amsterdam Experience@Townhouse w/Rooftop,Zuid,52.3559,4.87919,Entire home/apt,140,2,5,1.55,1,87
"Pleasant,cosy & crazy apartment with small balcony",De Baarsjes - Oud-West,52.36339,4.854019999999999,Entire home/apt,79,4,48,0.45,1,205
Cosy Apt | IN CITY CENTRE | Close to Artis Zoo,Centrum-Oost,52.36208,4.9101,Entire home/apt,125,2,139,1.31,1,0
Cat lover's paradise in Amsterdam's hottest street,De Baarsjes - Oud-West,52.35964,4.86713,Entire home/apt,100,2,101,0.97,1,339
Authentic Amsterdam apartment RAI,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,230,21,27,0.26,2,332
"Central, quiet, design apartment ",Oud-Noord,52.38624,4.90067,Entire home/apt,125,30,15,0.15,1,0
Clean & Cozy room in The Baarsjes,De Baarsjes - Oud-West,52.36824,4.85321,Private room,50,2,362,3.43,2,23
Metropolitan B&B centre Amsterdam,Centrum-West,52.37433,4.892469999999999,Private room,160,2,185,1.77,1,245
Lovely light appartment with garden,Zuid,52.35221,4.84661,Entire home/apt,150,4,10,0.11,1,0
Private Loft Ensuite in Center Amsterdam,Centrum-Oost,52.36057,4.89671,Private room,95,3,586,5.6,1,160
The best spot to discover Amsterdam,Centrum-West,52.38393,4.89237,Entire home/apt,129,3,41,0.39,1,0
ART & DESIGN APARTMENT,Westerpark,52.38351,4.87573,Entire home/apt,99,5,42,0.4,1,106
Studio next 2 V´park near Leidsepl.,De Baarsjes - Oud-West,52.35931,4.86111,Entire home/apt,79,5,40,0.38,1,0
Best Area - Large Luxury 3 Bdr Home,Zuid,52.34744,4.86886,Entire home/apt,284,3,24,0.24,1,0
Central yet quiet studio apartment,De Baarsjes - Oud-West,52.36889,4.8642900000000004,Entire home/apt,99,1,2,0.03,1,0
Spacious home w roof garden,De Baarsjes - Oud-West,52.36895,4.86452,Entire home/apt,180,3,19,0.18,1,197
Amsterdam Apartment (waterview),Zuid,52.35165,4.8465300000000004,Entire home/apt,149,2,41,0.4,1,0
LUXURIOUS GUESTHOUSE in CITY CENTER,Centrum-West,52.37169,4.89446,Private room,114,3,166,1.61,1,207
Suite in Canalhouse with Jacuzzi ,Centrum-West,52.36891,4.8897,Private room,265,2,10,0.11,2,267
❖100% independent studio sharing balcony and rest❖,Bos en Lommer,52.379540000000006,4.85415,Private room,99,1,28,0.27,1,0
Cosy home in Amsterdam West | Perfect for couples,De Baarsjes - Oud-West,52.3611,4.8589400000000005,Entire home/apt,100,3,128,1.24,1,3
Luxury apartment in trendy neighborhood,De Baarsjes - Oud-West,52.35957,4.86589,Entire home/apt,130,4,94,0.9,1,8
Jordaan apt with views of canals and Westerkerk,Centrum-West,52.37591,4.87807,Entire home/apt,125,14,16,0.16,1,0
"Bellavista, central,with canal view",De Baarsjes - Oud-West,52.36707,4.873480000000001,Private room,119,2,343,3.35,1,283
Charming Full Option Amsterdam Apt,De Pijp - Rivierenbuurt,52.34604,4.89709,Entire home/apt,120,3,37,0.37,1,0
Modern studio near central AMS,Oostelijk Havengebied - Indische Buurt,52.3661,4.93299,Entire home/apt,70,4,160,1.6,1,0
Amazing apartment historical centre,Centrum-Oost,52.369609999999994,4.90982,Entire home/apt,385,4,11,0.11,1,182
Great room @ BEST location  + 2 bikes!,Centrum-West,52.36775,4.889819999999999,Hotel room,149,3,410,4.07,2,190
The Flying Pancake B&B Amsterdam,Centrum-Oost,52.36513,4.90837,Private room,149,2,81,1.35,1,283
Amazing apartment in city center,Centrum-West,52.37131,4.88206,Entire home/apt,250,3,49,0.58,1,49
"bed & bike with free parking 
the house of finer",De Pijp - Rivierenbuurt,52.34472,4.8861300000000005,Private room,150,2,83,0.85,1,323
"Caracteristic, family apartment",De Baarsjes - Oud-West,52.35941,4.85995,Entire home/apt,168,5,7,0.08,1,30
Great CENTRAL apartment De Pijp,De Pijp - Rivierenbuurt,52.3542,4.8916,Entire home/apt,8000,30,8,0.08,1,1
Charming Studio with Roof Terrace,Zuid,52.35519,4.85117,Private room,88,3,119,1.22,1,0
"Private, central & luxurious apment",De Baarsjes - Oud-West,52.360479999999995,4.86345,Entire home/apt,85,2,22,0.21,1,0
Quiet room in sunny apartment on canal,Bos en Lommer,52.37745,4.85994,Private room,70,3,216,2.25,1,49
"Luxury appartm, good neighbourhood",Zuid,52.34633,4.85629,Entire home/apt,120,5,6,0.11,1,0
Cozy sleeping in popular Amsterdam West,Bos en Lommer,52.37843,4.85484,Entire home/apt,125,2,43,0.43,1,51
Beautiful central & quiet apartment,Centrum-Oost,52.36427,4.88523,Entire home/apt,200,3,35,0.36,1,38
Comfort + Great Prinsengracht view,Centrum-West,52.37959,4.887169999999999,Entire home/apt,210,30,102,1.0,1,120
Great loft: live the good life. Next to the RAI.,De Pijp - Rivierenbuurt,52.339209999999994,4.893759999999999,Entire home/apt,169,4,22,0.24,1,211
nice apartment in centre amsterdam,De Baarsjes - Oud-West,52.3583,4.85909,Entire home/apt,125,4,20,0.21,2,0
Your central home in wonderful AMS!,Zuid,52.35017,4.85255,Entire home/apt,115,10,3,0.04,1,0
5-bedrooms house; central location,Zuid,52.35353,4.87514,Entire home/apt,650,2,109,1.12,1,256
Luxury in CITY-CENTRE!,Centrum-West,52.38057,4.88565,Entire home/apt,105,7,50,0.5,9,0
Excellent Room 3 centre Amsterdam,Centrum-Oost,52.36009,4.89461,Private room,115,2,16,0.16,2,0
Cozy and quiet 1 bedroom apartment,Geuzenveld - Slotermeer,52.37899,4.8349400000000005,Entire home/apt,80,4,1,0.1,1,140
"Center,Canal View, Private Bathroom",Centrum-West,52.375609999999995,4.9,Private room,9000,3,275,2.75,2,306
BandB de Baarsjes Amsterdam,De Baarsjes - Oud-West,52.36192,4.85551,Private room,30,2,465,4.83,1,188
"Romantic houseboat in Jordaan, private room.",Centrum-West,52.38037,4.88021,Private room,90,3,234,2.32,1,71
"Center, Large&Sunny Room,Pvt Bathrm",Centrum-West,52.375609999999995,4.9,Private room,9000,3,317,3.19,2,326
cosy bedroom | garden | near center | breakfast,Watergraafsmeer,52.352509999999995,4.94338,Private room,95,2,8,0.08,2,0
Cozy & large bohemian style room ,Oud-Oost,52.35279,4.91256,Private room,99,3,209,2.07,1,356
Sunny Apartment along river IJ,Oud-Noord,52.38171,4.9144,Private room,105,7,25,0.26,1,1
Volledig huis-apartement,Oud-Noord,52.387440000000005,4.9096,Entire home/apt,74,1,5,0.08,1,0
Amsterdam Center -entire apartment,Centrum-Oost,52.36294,4.90944,Entire home/apt,175,3,14,0.25,1,0
Cosy apartment in charming Jordaan,Centrum-West,52.37154,4.87596,Entire home/apt,125,3,83,0.83,1,0
Sunny family flat in the Jordaan!,Centrum-West,52.37997,4.88707,Entire home/apt,126,5,14,0.14,1,0
Quiet studio in the heart of town with Garden!,Centrum-West,52.37075,4.897869999999999,Private room,140,1,89,0.91,2,333
Smack dab middle of Amsterdam,Centrum-West,52.370940000000004,4.87654,Entire home/apt,165,5,87,0.87,1,130
Split level Design Canal Apartment,Centrum-West,52.36957,4.8883,Entire home/apt,550,30,3,0.07,2,65
Canal & Parkview Apartment,Westerpark,52.384479999999996,4.87116,Entire home/apt,275,1,162,1.66,1,356
"SunShine, A Sunny Amsterdam Special",Centrum-Oost,52.35955,4.8979,Entire home/apt,200,3,21,0.23,2,116
Sailing Ship Amsterdam Centre (1),Westerpark,52.39235,4.88601,Entire home/apt,464,2,97,1.05,2,0
