neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
Centrum-Oost,Entire home/apt,35,0.36,1,66.66666666666667
Centrum-West,Entire home/apt,102,1.0,1,7.0
De Pijp - Rivierenbuurt,Entire home/apt,22,0.24,1,42.25
De Baarsjes - Oud-West,Entire home/apt,20,0.21,2,31.25
Zuid,Entire home/apt,3,0.04,1,11.5
Zuid,Entire home/apt,109,1.12,1,325.0
Centrum-West,Entire home/apt,50,0.5,9,15.0
Centrum-Oost,Private room,16,0.16,2,57.5
Geuzenveld - Slotermeer,Entire home/apt,1,0.1,1,20.0
Centrum-West,Private room,275,2.75,2,3000.0
De Baarsjes - Oud-West,Private room,465,4.83,1,15.0
Centrum-West,Private room,234,2.32,1,30.0
Centrum-West,Private room,317,3.19,2,3000.0
Watergraafsmeer,Private room,8,0.08,2,47.5
Oud-Oost,Private room,209,2.07,1,33.0
Oud-Noord,Private room,25,0.26,1,15.0
Oud-Noord,Entire home/apt,5,0.08,1,74.0
Centrum-Oost,Entire home/apt,14,0.25,1,58.333333333333336
Centrum-West,Entire home/apt,83,0.83,1,41.666666666666664
Centrum-West,Entire home/apt,14,0.14,1,25.2
Centrum-West,Private room,89,0.91,2,140.0
Centrum-West,Entire home/apt,87,0.87,1,33.0
Centrum-West,Entire home/apt,3,0.07,2,18.333333333333332
Westerpark,Entire home/apt,162,1.66,1,275.0
Centrum-Oost,Entire home/apt,21,0.23,2,66.66666666666667
Westerpark,Entire home/apt,97,1.05,2,232.0
Centrum-Oost,Private room,34,0.46,2,30.0
Oud-Noord,Entire home/apt,75,0.87,1,87.5
De Baarsjes - Oud-West,Entire home/apt,28,0.32,1,84.5
Centrum-West,Entire home/apt,80,0.82,2,76.66666666666667
De Baarsjes - Oud-West,Entire home/apt,100,1.19,1,33.333333333333336
Centrum-Oost,Private room,10,0.16,2,57.5
De Baarsjes - Oud-West,Entire home/apt,48,0.49,1,111.0
De Pijp - Rivierenbuurt,Entire home/apt,12,0.12,1,50.0
De Pijp - Rivierenbuurt,Entire home/apt,38,0.41,1,99.5
Oud-Oost,Entire home/apt,50,0.51,1,15.285714285714286
De Pijp - Rivierenbuurt,Entire home/apt,298,3.08,3,113.0
Zuid,Entire home/apt,32,0.33,1,88.0
De Pijp - Rivierenbuurt,Private room,514,5.21,2,63.0
Centrum-Oost,Entire home/apt,20,0.21,1,42.142857142857146
De Baarsjes - Oud-West,Entire home/apt,27,0.34,1,137.5
Centrum-Oost,Entire home/apt,37,0.38,1,37.5
Watergraafsmeer,Private room,288,2.94,1,36.0
Oud-Oost,Private room,384,3.96,2,32.0
De Pijp - Rivierenbuurt,Entire home/apt,43,0.44,1,84.5
Oud-Oost,Private room,103,1.1,1,37.5
IJburg - Zeeburgereiland,Entire home/apt,3,0.05,1,56.42857142857143
De Baarsjes - Oud-West,Entire home/apt,79,0.81,1,122.5
Centrum-West,Entire home/apt,99,1.02,8,42.714285714285715
Centrum-Oost,Entire home/apt,52,0.59,1,16.5
Centrum-Oost,Entire home/apt,198,2.03,2,64.5
Centrum-Oost,Entire home/apt,11,0.19,1,100.0
De Baarsjes - Oud-West,Entire home/apt,67,0.68,1,62.666666666666664
Centrum-Oost,Entire home/apt,118,1.27,1,93.33333333333333
Oud-Oost,Private room,81,0.84,2,66.33333333333333
Centrum-Oost,Entire home/apt,130,1.45,1,146.66666666666666
Centrum-West,Entire home/apt,111,1.14,1,99.5
Westerpark,Entire home/apt,55,0.58,1,73.75
Centrum-West,Private room,574,5.9,1,28.333333333333332
Centrum-Oost,Entire home/apt,53,0.54,1,87.5
Watergraafsmeer,Entire home/apt,186,1.97,1,63.0
Oud-Oost,Entire home/apt,8,0.16,1,75.0
De Baarsjes - Oud-West,Entire home/apt,23,0.25,1,6.45
Zuid,Entire home/apt,7,0.12,1,28.75
Centrum-Oost,Entire home/apt,78,0.81,1,1.6611111111111112
Oostelijk Havengebied - Indische Buurt,Entire home/apt,65,0.67,1,72.5
De Baarsjes - Oud-West,Entire home/apt,21,0.22,1,61.666666666666664
Centrum-West,Entire home/apt,130,1.35,8,39.285714285714285
Bos en Lommer,Entire home/apt,16,0.17,1,9.285714285714286
De Pijp - Rivierenbuurt,Entire home/apt,123,1.27,1,36.333333333333336
De Baarsjes - Oud-West,Entire home/apt,52,0.61,1,35.0
Zuid,Entire home/apt,101,1.05,1,50.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,33,0.35,1,43.75
Centrum-West,Entire home/apt,20,0.21,1,4.966666666666667
Centrum-Oost,Hotel room,91,0.96,2,135.0
Centrum-Oost,Entire home/apt,9,0.21,1,37.25
De Baarsjes - Oud-West,Private room,397,4.11,1,26.666666666666668
De Pijp - Rivierenbuurt,Private room,237,2.46,1,50.0
Zuid,Entire home/apt,77,0.79,1,21.0
Centrum-Oost,Entire home/apt,76,0.83,2,91.66666666666667
Centrum-West,Entire home/apt,60,0.63,1,58.333333333333336
Oud-Oost,Entire home/apt,46,0.48,1,36.666666666666664
Centrum-West,Entire home/apt,31,0.51,1,58.333333333333336
Westerpark,Entire home/apt,193,2.05,1,44.5
Centrum-West,Entire home/apt,150,1.65,1,80.0
Centrum-West,Entire home/apt,24,0.25,1,50.0
