neighbourhood,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,price/night
Centrum-West,Entire home/apt,6,0.09,1,45.0
De Baarsjes - Oud-West,Entire home/apt,63,0.94,1,150.0
De Baarsjes - Oud-West,Entire home/apt,9,0.22,1,43.333333333333336
Osdorp,Private room,101,1.51,2,56.0
De Baarsjes - Oud-West,Entire home/apt,1,0.02,1,31.25
Oud-Oost,Entire home/apt,5,0.08,1,32.5
Centrum-West,Entire home/apt,0,0.0,1,110.0
De Baarsjes - Oud-West,Entire home/apt,26,0.4,1,18.333333333333332
De Baarsjes - Oud-West,Entire home/apt,7,0.39,1,50.5
De Pijp - Rivierenbuurt,Entire home/apt,3,0.08,1,83.33333333333333
Westerpark,Entire home/apt,0,0.0,1,100.0
Zuid,Entire home/apt,25,0.39,1,48.75
Oud-Noord,Entire home/apt,13,0.2,1,21.5
Westerpark,Entire home/apt,0,0.0,1,200.0
De Pijp - Rivierenbuurt,Entire home/apt,13,0.2,1,39.5
Zuid,Entire home/apt,69,1.06,1,67.5
Westerpark,Entire home/apt,45,0.68,1,7.380952380952381
Centrum-West,Entire home/apt,3,0.08,1,66.66666666666667
Zuid,Entire home/apt,68,1.1,1,110.0
De Baarsjes - Oud-West,Entire home/apt,14,0.21,1,37.5
De Pijp - Rivierenbuurt,Entire home/apt,22,0.74,1,50.0
Oud-Oost,Entire home/apt,18,0.29,1,21.428571428571427
De Baarsjes - Oud-West,Entire home/apt,6,0.11,1,17.8
Westerpark,Entire home/apt,7,0.15,1,33.333333333333336
Zuid,Entire home/apt,26,0.4,1,308.3333333333333
De Baarsjes - Oud-West,Entire home/apt,61,0.95,1,53.0
Oud-Noord,Private room,137,2.23,1,362.5
Centrum-West,Entire home/apt,8,0.12,1,17.8
Oud-Noord,Entire home/apt,66,1.0,1,220.0
Oud-Oost,Entire home/apt,4,0.07,1,19.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,50.0
Westerpark,Private room,251,3.77,1,31.666666666666668
Slotervaart,Entire home/apt,68,1.41,1,49.5
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,58.0
Centrum-West,Entire home/apt,213,3.59,1,39.0
De Baarsjes - Oud-West,Private room,4,0.06,3,35.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,20,0.38,1,120.0
De Pijp - Rivierenbuurt,Private room,2,0.12,1,90.0
Centrum-Oost,Entire home/apt,70,1.07,3,34.285714285714285
De Baarsjes - Oud-West,Entire home/apt,24,0.44,1,59.666666666666664
De Baarsjes - Oud-West,Entire home/apt,28,0.43,1,150.0
Watergraafsmeer,Entire home/apt,30,0.46,2,49.666666666666664
Oostelijk Havengebied - Indische Buurt,Private room,0,0.0,1,2.142857142857143
De Pijp - Rivierenbuurt,Entire home/apt,2,0.03,2,50.0
Zuid,Entire home/apt,11,0.18,1,25.0
De Baarsjes - Oud-West,Entire home/apt,11,0.17,1,16.428571428571427
De Baarsjes - Oud-West,Entire home/apt,23,0.35,1,7.2
De Baarsjes - Oud-West,Entire home/apt,2,0.03,1,37.5
Westerpark,Entire home/apt,6,0.1,1,31.666666666666668
De Pijp - Rivierenbuurt,Entire home/apt,53,0.82,1,44.5
Bijlmer-Centrum,Private room,9,0.24,3,80.0
De Baarsjes - Oud-West,Entire home/apt,45,0.68,1,48.333333333333336
Oostelijk Havengebied - Indische Buurt,Private room,617,9.32,1,69.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,8.571428571428571
De Baarsjes - Oud-West,Entire home/apt,6,0.09,2,50.0
Westerpark,Entire home/apt,38,0.62,1,30.0
Gaasperdam - Driemond,Hotel room,222,3.62,5,85.0
Centrum-West,Entire home/apt,10,0.2,1,20.0
Centrum-Oost,Entire home/apt,71,1.15,3,31.428571428571427
Oud-Oost,Entire home/apt,3,0.05,1,50.0
Westerpark,Entire home/apt,6,0.13,11,25.0
Zuid,Entire home/apt,23,0.36,1,93.33333333333333
IJburg - Zeeburgereiland,Entire home/apt,12,0.23,2,47.5
Westerpark,Entire home/apt,2,0.1,1,125.0
De Pijp - Rivierenbuurt,Entire home/apt,35,0.56,1,75.0
Westerpark,Entire home/apt,7,0.17,1,40.0
Gaasperdam - Driemond,Entire home/apt,10,0.36,1,7.5
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,60.0
De Baarsjes - Oud-West,Entire home/apt,7,0.12,1,14.75
Westerpark,Entire home/apt,11,0.33,1,28.0
IJburg - Zeeburgereiland,Entire home/apt,5,0.14,1,31.666666666666668
De Baarsjes - Oud-West,Entire home/apt,36,0.54,11,38.0
Oud-Oost,Entire home/apt,25,0.38,1,21.0
Centrum-Oost,Private room,289,4.36,1,57.5
De Baarsjes - Oud-West,Entire home/apt,3,0.05,1,85.0
De Pijp - Rivierenbuurt,Entire home/apt,35,0.53,1,9.8
Oostelijk Havengebied - Indische Buurt,Private room,15,0.23,1,50.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,2,41.666666666666664
Westerpark,Entire home/apt,34,0.51,1,92.5
Slotervaart,Entire home/apt,1,0.48,1,98.0
De Baarsjes - Oud-West,Entire home/apt,30,0.69,1,64.5
Zuid,Entire home/apt,46,0.75,1,75.0
Zuid,Entire home/apt,75,1.16,1,99.5
Watergraafsmeer,Entire home/apt,12,0.2,1,75.0
Zuid,Entire home/apt,0,0.0,1,30.0
Bos en Lommer,Entire home/apt,1,0.03,1,68.75
Zuid,Entire home/apt,28,0.57,1,41.666666666666664
Buitenveldert - Zuidas,Private room,84,1.31,1,24.5
De Baarsjes - Oud-West,Entire home/apt,50,0.78,1,31.25
Oud-Oost,Entire home/apt,3,0.05,1,8.571428571428571
Bijlmer-Centrum,Entire home/apt,18,0.28,1,62.5
De Baarsjes - Oud-West,Private room,475,7.22,2,78.0
Zuid,Private room,172,2.67,1,50.0
Centrum-West,Entire home/apt,23,0.36,1,150.0
Bos en Lommer,Entire home/apt,51,0.78,1,72.5
De Baarsjes - Oud-West,Private room,60,0.98,1,45.0
De Pijp - Rivierenbuurt,Entire home/apt,33,0.51,1,50.0
Westerpark,Entire home/apt,18,0.57,1,52.5
De Pijp - Rivierenbuurt,Entire home/apt,11,0.18,1,35.0
Centrum-Oost,Entire home/apt,48,0.75,1,170.0
Centrum-Oost,Entire home/apt,22,0.35,1,87.5
De Pijp - Rivierenbuurt,Entire home/apt,34,0.55,1,50.0
Oud-Oost,Entire home/apt,1,0.02,1,18.333333333333332
De Pijp - Rivierenbuurt,Private room,387,5.88,1,43.333333333333336
De Baarsjes - Oud-West,Entire home/apt,2,0.03,1,39.8
De Pijp - Rivierenbuurt,Private room,160,2.48,1,29.666666666666668
De Pijp - Rivierenbuurt,Private room,8,0.12,2,40.0
Zuid,Entire home/apt,5,0.08,1,120.0
Centrum-West,Entire home/apt,275,4.26,1,97.5
Zuid,Entire home/apt,5,0.08,1,175.0
Zuid,Entire home/apt,2,0.71,1,50.0
Slotervaart,Entire home/apt,3,0.05,2,30.0
Centrum-Oost,Entire home/apt,25,0.39,1,34.75
De Baarsjes - Oud-West,Entire home/apt,114,1.78,1,400.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,72.5
Centrum-West,Entire home/apt,71,1.09,1,36.25
Westerpark,Private room,1,0.02,1,34.0
Oud-Noord,Entire home/apt,2,0.03,1,150.0
Oud-Oost,Entire home/apt,34,0.55,1,16.166666666666668
Westerpark,Entire home/apt,13,0.2,2,200.0
De Pijp - Rivierenbuurt,Entire home/apt,40,0.64,1,75.0
Zuid,Entire home/apt,28,0.43,1,87.25
Slotervaart,Entire home/apt,26,0.42,2,33.333333333333336
De Baarsjes - Oud-West,Entire home/apt,55,0.85,1,40.0
Oud-Oost,Entire home/apt,12,0.19,1,22.0
Oud-Noord,Entire home/apt,56,0.86,1,4.184210526315789
Centrum-Oost,Private room,174,2.67,3,34.5
Oud-Oost,Private room,89,1.51,4,50.0
De Baarsjes - Oud-West,Private room,175,2.69,2,25.0
Watergraafsmeer,Private room,219,3.35,1,27.666666666666668
De Baarsjes - Oud-West,Entire home/apt,3,0.05,1,60.0
De Baarsjes - Oud-West,Entire home/apt,16,0.25,1,56.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,15,0.42,1,62.5
Centrum-West,Entire home/apt,2,0.04,1,41.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,24,0.43,1,61.666666666666664
Oud-Oost,Entire home/apt,11,0.17,1,13.4
Oostelijk Havengebied - Indische Buurt,Entire home/apt,14,0.22,1,42.5
De Baarsjes - Oud-West,Private room,207,3.16,2,24.0
Westerpark,Private room,42,0.67,2,65.0
Zuid,Entire home/apt,4,0.06,1,32.5
Oud-Noord,Entire home/apt,254,4.11,1,49.0
Zuid,Entire home/apt,66,1.06,2,89.0
IJburg - Zeeburgereiland,Shared room,69,1.07,1,247.5
De Baarsjes - Oud-West,Entire home/apt,9,0.15,1,50.0
De Baarsjes - Oud-West,Entire home/apt,26,0.43,1,140.0
Slotervaart,Private room,78,1.21,1,21.666666666666668
De Baarsjes - Oud-West,Entire home/apt,78,1.21,1,66.33333333333333
De Baarsjes - Oud-West,Entire home/apt,32,0.5,1,46.666666666666664
Zuid,Entire home/apt,1,0.02,1,100.0
De Baarsjes - Oud-West,Private room,8,0.13,1,100.0
Bos en Lommer,Entire home/apt,8,0.13,1,33.0
Oud-Oost,Entire home/apt,17,0.26,1,35.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,3,0.05,1,14.285714285714286
De Pijp - Rivierenbuurt,Entire home/apt,135,2.07,4,198.0
Westerpark,Entire home/apt,45,0.7,1,15.0
Oud-Oost,Entire home/apt,1,0.02,1,50.0
De Baarsjes - Oud-West,Entire home/apt,41,0.67,1,45.0
Noord-Oost,Entire home/apt,25,0.39,1,53.333333333333336
Oud-Noord,Entire home/apt,65,1.04,2,247.5
Centrum-Oost,Entire home/apt,12,0.19,1,75.0
Centrum-Oost,Entire home/apt,25,0.38,1,60.0
De Baarsjes - Oud-West,Entire home/apt,34,0.53,1,49.666666666666664
Oud-Noord,Entire home/apt,9,0.22,1,112.5
De Pijp - Rivierenbuurt,Private room,296,4.59,1,62.0
Centrum-West,Private room,356,7.41,2,99.0
Westerpark,Entire home/apt,38,0.59,1,82.5
Slotervaart,Entire home/apt,1,0.02,1,30.0
Centrum-West,Private room,212,3.45,1,67.5
De Aker - Nieuw Sloten,Private room,0,0.0,1,65.0
Westerpark,Entire home/apt,31,0.48,1,40.0
Centrum-West,Entire home/apt,17,0.28,1,90.0
Bos en Lommer,Entire home/apt,10,0.24,1,2.0833333333333335
Centrum-Oost,Entire home/apt,17,0.26,1,66.66666666666667
Bos en Lommer,Entire home/apt,9,0.14,1,31.666666666666668
De Baarsjes - Oud-West,Entire home/apt,4,0.07,1,100.0
Centrum-Oost,Private room,150,2.31,3,30.5
Zuid,Entire home/apt,11,0.18,1,75.0
Oud-Oost,Entire home/apt,18,0.28,1,40.0
Westerpark,Entire home/apt,18,0.31,1,47.333333333333336
Buitenveldert - Zuidas,Entire home/apt,0,0.0,1,51.42857142857143
Zuid,Entire home/apt,20,0.33,1,61.666666666666664
Watergraafsmeer,Entire home/apt,5,0.08,1,50.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,9,0.2,1,43.75
Oud-Noord,Entire home/apt,3,0.05,1,40.0
De Baarsjes - Oud-West,Entire home/apt,31,0.5,1,59.75
Centrum-West,Private room,252,3.87,1,148.0
Centrum-Oost,Entire home/apt,49,0.84,1,54.5
Centrum-Oost,Entire home/apt,12,0.19,1,39.5
Centrum-Oost,Private room,297,4.6,1,39.0
Watergraafsmeer,Entire home/apt,0,0.0,1,75.0
De Baarsjes - Oud-West,Entire home/apt,3,0.05,1,15.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,8,0.13,1,50.0
Westerpark,Entire home/apt,10,0.17,2,46.666666666666664
De Pijp - Rivierenbuurt,Private room,6,0.13,1,79.0
Oostelijk Havengebied - Indische Buurt,Private room,28,0.43,2,34.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,35,0.54,2,37.5
De Pijp - Rivierenbuurt,Entire home/apt,57,0.88,1,59.5
Westerpark,Entire home/apt,1,0.02,1,33.0
Centrum-West,Entire home/apt,24,0.5,1,39.285714285714285
De Baarsjes - Oud-West,Entire home/apt,27,0.45,1,53.333333333333336
Westerpark,Entire home/apt,17,0.26,1,31.666666666666668
Centrum-West,Entire home/apt,32,0.58,1,180.0
De Baarsjes - Oud-West,Entire home/apt,64,0.98,1,50.0
Oud-Oost,Private room,457,7.53,3,32.5
De Pijp - Rivierenbuurt,Private room,0,0.0,2,20.0
Watergraafsmeer,Entire home/apt,38,0.63,1,26.333333333333332
Oud-Noord,Entire home/apt,313,5.1,1,125.0
Slotervaart,Entire home/apt,9,0.15,1,83.33333333333333
Westerpark,Entire home/apt,2,0.04,1,33.0
Centrum-Oost,Entire home/apt,236,3.76,1,125.0
Bos en Lommer,Entire home/apt,27,0.44,1,78.33333333333333
Zuid,Entire home/apt,0,0.0,3,150.0
De Baarsjes - Oud-West,Entire home/apt,108,1.83,1,50.0
De Pijp - Rivierenbuurt,Entire home/apt,5,0.08,2,91.66666666666667
De Pijp - Rivierenbuurt,Private room,2,0.03,2,80.0
De Baarsjes - Oud-West,Entire home/apt,4,0.07,1,50.0
Zuid,Entire home/apt,76,1.18,1,22.142857142857142
De Pijp - Rivierenbuurt,Entire home/apt,9,0.14,1,46.666666666666664
Westerpark,Entire home/apt,18,0.28,1,22.5
Centrum-West,Private room,286,4.65,2,22.5
De Pijp - Rivierenbuurt,Entire home/apt,4,0.07,1,130.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,49,0.88,2,49.5
Centrum-Oost,Entire home/apt,53,0.82,1,35.0
Centrum-Oost,Entire home/apt,41,0.71,2,116.66666666666667
Oud-Oost,Entire home/apt,22,0.4,1,27.0
Bos en Lommer,Entire home/apt,8,0.12,1,50.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,20,0.33,1,50.0
Westerpark,Entire home/apt,31,0.63,1,149.0
Zuid,Entire home/apt,16,0.25,1,14.285714285714286
Bos en Lommer,Entire home/apt,51,0.82,2,49.666666666666664
Oud-Oost,Entire home/apt,71,1.12,1,83.5
Noord-Oost,Private room,2,0.04,1,22.666666666666668
Oostelijk Havengebied - Indische Buurt,Entire home/apt,41,0.64,2,55.0
Centrum-West,Entire home/apt,40,0.62,1,46.666666666666664
Centrum-West,Entire home/apt,117,1.82,1,98.33333333333333
De Aker - Nieuw Sloten,Entire home/apt,8,0.14,1,100.0
Bos en Lommer,Entire home/apt,52,0.83,1,33.333333333333336
Centrum-Oost,Entire home/apt,0,0.0,1,100.0
Centrum-Oost,Entire home/apt,3,0.39,1,66.66666666666667
De Aker - Nieuw Sloten,Private room,150,2.4,5,19.666666666666668
Oud-Oost,Entire home/apt,10,0.19,1,50.0
Oud-Oost,Entire home/apt,39,0.67,1,46.333333333333336
Westerpark,Entire home/apt,1,0.02,1,225.0
Centrum-Oost,Entire home/apt,19,0.59,1,119.5
Bos en Lommer,Entire home/apt,13,0.2,1,35.0
De Pijp - Rivierenbuurt,Entire home/apt,0,0.0,1,87.5
Bos en Lommer,Private room,1,0.02,1,35.0
De Baarsjes - Oud-West,Entire home/apt,23,0.36,1,41.666666666666664
Centrum-West,Entire home/apt,13,0.21,1,66.66666666666667
De Baarsjes - Oud-West,Private room,258,4.16,2,36.666666666666664
Centrum-Oost,Entire home/apt,5,0.09,1,60.0
Centrum-Oost,Entire home/apt,26,0.65,1,55.0
De Baarsjes - Oud-West,Entire home/apt,2,0.04,1,31.25
Oud-Oost,Entire home/apt,11,0.18,1,58.333333333333336
Oud-Oost,Entire home/apt,3,0.05,2,12.666666666666666
Oud-Oost,Entire home/apt,18,0.51,4,107.5
De Pijp - Rivierenbuurt,Entire home/apt,31,0.48,1,10.2
De Baarsjes - Oud-West,Entire home/apt,115,1.78,2,8.571428571428571
De Baarsjes - Oud-West,Entire home/apt,4,0.07,1,35.0
De Pijp - Rivierenbuurt,Entire home/apt,44,0.68,1,60.0
De Baarsjes - Oud-West,Private room,158,3.72,1,26.666666666666668
Bos en Lommer,Entire home/apt,30,0.78,1,35.0
Osdorp,Private room,0,0.0,1,49.0
Zuid,Private room,89,1.38,1,77.5
De Baarsjes - Oud-West,Entire home/apt,5,0.08,1,28.333333333333332
Centrum-Oost,Entire home/apt,53,0.84,2,175.0
Oostelijk Havengebied - Indische Buurt,Private room,75,1.71,1,23.333333333333332
Westerpark,Entire home/apt,1,0.2,1,87.5
De Baarsjes - Oud-West,Entire home/apt,19,0.31,1,50.0
Westerpark,Entire home/apt,10,0.17,1,50.0
Oud-Oost,Entire home/apt,26,0.4,1,400.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,13,0.35,1,92.5
Centrum-Oost,Entire home/apt,12,0.19,1,48.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,42,0.66,1,175.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.02,1,60.0
Westerpark,Entire home/apt,2,0.03,1,30.0
De Pijp - Rivierenbuurt,Private room,1,0.21,1,14.285714285714286
De Baarsjes - Oud-West,Private room,17,0.26,1,89.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,100.0
De Baarsjes - Oud-West,Private room,3,0.05,1,2.857142857142857
Oud-Oost,Entire home/apt,5,0.08,1,16.0
Oud-Oost,Entire home/apt,4,0.07,1,45.0
Slotervaart,Private room,2,0.03,1,74.0
Centrum-West,Private room,66,1.06,1,49.666666666666664
Oud-Noord,Private room,357,5.69,3,99.0
Oud-Oost,Private room,88,1.44,1,27.5
Oud-Oost,Entire home/apt,32,0.61,1,71.5
Oud-Oost,Entire home/apt,59,1.02,1,59.5
Watergraafsmeer,Entire home/apt,68,1.11,1,78.33333333333333
Westerpark,Entire home/apt,10,0.23,1,26.0
Centrum-Oost,Entire home/apt,5,0.09,1,120.0
Oud-Oost,Private room,0,0.0,1,62.5
Centrum-West,Entire home/apt,44,0.69,1,360.0
De Baarsjes - Oud-West,Entire home/apt,20,0.33,1,41.666666666666664
De Baarsjes - Oud-West,Entire home/apt,5,0.13,1,63.0
Noord-West,Entire home/apt,29,0.5,1,45.0
De Pijp - Rivierenbuurt,Entire home/apt,44,0.7,1,125.0
Bos en Lommer,Entire home/apt,10,0.16,1,42.5
Noord-West,Entire home/apt,121,1.93,2,56.0
Centrum-Oost,Entire home/apt,31,0.5,1,42.5
De Pijp - Rivierenbuurt,Entire home/apt,38,0.63,1,39.0
Westerpark,Entire home/apt,12,0.27,2,57.5
Noord-Oost,Entire home/apt,15,0.31,1,58.333333333333336
De Baarsjes - Oud-West,Entire home/apt,11,0.18,1,150.0
De Baarsjes - Oud-West,Private room,11,0.18,1,55.0
Bos en Lommer,Entire home/apt,6,0.1,1,28.75
De Pijp - Rivierenbuurt,Entire home/apt,40,0.64,1,28.333333333333332
Centrum-West,Private room,109,1.78,2,29.666666666666668
Westerpark,Entire home/apt,2,0.04,1,0.5376344086021505
Centrum-West,Entire home/apt,85,1.37,1,80.0
De Baarsjes - Oud-West,Entire home/apt,19,0.31,1,128.0
De Baarsjes - Oud-West,Private room,131,2.28,5,27.333333333333332
Westerpark,Entire home/apt,18,0.48,1,43.5
Oud-Oost,Entire home/apt,27,0.43,1,22.5
Oostelijk Havengebied - Indische Buurt,Private room,2,0.03,1,20.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,400.0
Bos en Lommer,Entire home/apt,16,0.28,2,45.0
Oostelijk Havengebied - Indische Buurt,Entire home/apt,67,1.06,1,75.0
Centrum-West,Private room,95,1.88,2,29.666666666666668
De Baarsjes - Oud-West,Entire home/apt,40,0.65,2,30.75
De Aker - Nieuw Sloten,Private room,143,2.25,5,19.666666666666668
Centrum-West,Private room,11,0.18,2,125.0
De Baarsjes - Oud-West,Entire home/apt,10,0.17,1,40.0
Oud-Oost,Entire home/apt,33,0.57,2,33.333333333333336
Oud-Oost,Shared room,2,0.04,1,61.666666666666664
Westerpark,Entire home/apt,27,0.54,1,26.333333333333332
Bos en Lommer,Entire home/apt,35,0.62,1,66.33333333333333
Oud-Noord,Entire home/apt,18,0.29,1,49.5
Centrum-West,Entire home/apt,23,0.4,1,25.0
De Baarsjes - Oud-West,Entire home/apt,12,0.19,1,43.5
Westerpark,Entire home/apt,15,0.26,1,58.333333333333336
De Baarsjes - Oud-West,Entire home/apt,37,0.6,3,175.0
Centrum-West,Entire home/apt,7,0.11,1,26.25
Oud-Oost,Entire home/apt,9,0.2,1,26.0
De Baarsjes - Oud-West,Entire home/apt,2,0.04,1,43.333333333333336
Centrum-West,Entire home/apt,16,0.84,1,95.0
Oud-Oost,Entire home/apt,11,0.19,38,22.333333333333332
Bos en Lommer,Entire home/apt,40,0.63,1,45.0
Oud-Oost,Private room,28,0.46,2,22.5
De Baarsjes - Oud-West,Entire home/apt,18,0.29,1,83.33333333333333
Oud-Noord,Entire home/apt,3,0.09,1,160.0
De Baarsjes - Oud-West,Entire home/apt,13,0.21,1,57.5
Oud-Oost,Entire home/apt,9,0.43,1,50.0
Oud-Oost,Entire home/apt,43,0.69,1,50.0
Oud-Oost,Entire home/apt,14,0.23,1,41.25
Bos en Lommer,Entire home/apt,11,0.18,1,37.5
De Pijp - Rivierenbuurt,Entire home/apt,226,3.58,1,37.5
Westerpark,Entire home/apt,48,1.84,1,123.0
Westerpark,Entire home/apt,11,0.17,2,60.0
De Baarsjes - Oud-West,Entire home/apt,43,0.68,1,62.5
Zuid,Entire home/apt,0,0.0,1,33.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,13,0.21,1,65.0
De Pijp - Rivierenbuurt,Entire home/apt,32,0.5,1,29.666666666666668
Centrum-West,Entire home/apt,19,0.34,1,140.0
Centrum-West,Private room,65,1.06,1,60.0
De Pijp - Rivierenbuurt,Private room,161,2.62,1,89.5
De Pijp - Rivierenbuurt,Entire home/apt,35,0.56,1,55.0
Westerpark,Entire home/apt,60,0.95,1,75.0
Noord-Oost,Entire home/apt,7,0.12,1,50.0
De Pijp - Rivierenbuurt,Entire home/apt,65,1.03,1,60.0
Noord-Oost,Entire home/apt,19,0.38,1,49.666666666666664
Bos en Lommer,Entire home/apt,25,0.42,1,59.666666666666664
Centrum-Oost,Private room,12,0.24,2,140.0
Centrum-West,Private room,7,0.12,2,144.0
De Baarsjes - Oud-West,Entire home/apt,23,0.52,1,65.0
Westerpark,Entire home/apt,71,1.13,1,150.0
Centrum-West,Entire home/apt,15,0.36,1,60.0
De Baarsjes - Oud-West,Entire home/apt,36,0.57,1,75.0
De Pijp - Rivierenbuurt,Entire home/apt,52,0.83,1,38.333333333333336
Centrum-West,Entire home/apt,0,0.0,1,39.666666666666664
De Pijp - Rivierenbuurt,Entire home/apt,19,0.35,1,22.714285714285715
De Baarsjes - Oud-West,Entire home/apt,45,0.71,1,58.333333333333336
Slotervaart,Entire home/apt,11,0.19,2,75.0
Westerpark,Entire home/apt,5,0.09,1,45.0
IJburg - Zeeburgereiland,Entire home/apt,17,0.3,1,55.0
Zuid,Entire home/apt,22,0.37,1,55.0
De Aker - Nieuw Sloten,Private room,27,0.44,1,32.5
Oostelijk Havengebied - Indische Buurt,Entire home/apt,11,0.18,1,106.66666666666667
Westerpark,Entire home/apt,38,0.62,1,70.0
Centrum-West,Private room,53,0.95,2,62.5
Oostelijk Havengebied - Indische Buurt,Private room,17,0.28,2,33.25
Bos en Lommer,Entire home/apt,14,0.22,1,59.0
Westerpark,Private room,286,4.66,1,44.5
Slotervaart,Entire home/apt,31,0.51,1,30.0
Oud-Oost,Entire home/apt,77,1.23,1,74.5
Slotervaart,Entire home/apt,10,0.17,1,66.66666666666667
Oud-Oost,Entire home/apt,14,0.31,1,40.0
Zuid,Entire home/apt,0,0.0,1,12.428571428571429
De Pijp - Rivierenbuurt,Entire home/apt,42,0.68,1,31.666666666666668
Centrum-West,Entire home/apt,4,0.09,1,100.0
Oud-Oost,Entire home/apt,22,0.56,1,41.666666666666664
Oud-Oost,Private room,82,1.33,1,30.0
De Baarsjes - Oud-West,Entire home/apt,37,0.65,1,80.0
De Pijp - Rivierenbuurt,Entire home/apt,25,0.42,1,70.0
Slotervaart,Private room,230,3.74,2,17.5
De Pijp - Rivierenbuurt,Entire home/apt,12,0.21,1,15.714285714285714
Oud-Oost,Entire home/apt,26,0.41,2,106.66666666666667
De Baarsjes - Oud-West,Entire home/apt,63,1.0,1,87.5
Zuid,Entire home/apt,46,0.75,1,150.0
Centrum-West,Entire home/apt,12,0.23,1,80.0
Oud-Oost,Entire home/apt,4,0.07,1,8.928571428571429
De Baarsjes - Oud-West,Entire home/apt,9,0.14,1,46.666666666666664
Slotervaart,Private room,216,3.52,2,35.0
De Pijp - Rivierenbuurt,Entire home/apt,11,0.18,1,33.0
IJburg - Zeeburgereiland,Private room,143,2.3,1,21.0
Bijlmer-Centrum,Entire home/apt,1,0.02,1,25.0
Gaasperdam - Driemond,Private room,38,0.63,1,72.5
De Pijp - Rivierenbuurt,Entire home/apt,8,0.14,1,57.5
De Baarsjes - Oud-West,Entire home/apt,49,0.79,1,40.0
De Pijp - Rivierenbuurt,Private room,29,0.47,1,24.666666666666668
Noord-West,Private room,81,1.32,3,50.0
Bos en Lommer,Entire home/apt,25,0.54,1,103.0
Bos en Lommer,Entire home/apt,23,0.37,1,125.0
Bos en Lommer,Entire home/apt,58,0.93,1,66.0
De Pijp - Rivierenbuurt,Entire home/apt,3,0.09,1,40.0
Westerpark,Entire home/apt,24,0.4,1,80.0
De Baarsjes - Oud-West,Entire home/apt,1,0.02,1,35.0
De Baarsjes - Oud-West,Entire home/apt,42,0.68,1,130.0
Centrum-West,Private room,128,2.03,1,62.5
Oud-Oost,Entire home/apt,8,0.13,1,41.666666666666664
Oud-Noord,Hotel room,18,0.34,4,795.0
Zuid,Private room,0,0.0,1,120.0
Zuid,Entire home/apt,0,0.0,1,150.0
Oud-Noord,Entire home/apt,8,0.13,4,4500.0
Westerpark,Entire home/apt,31,0.51,1,18.75
Zuid,Entire home/apt,8,0.13,1,52.5
Bijlmer-Oost,Private room,23,0.4,1,22.5
De Aker - Nieuw Sloten,Entire home/apt,1,0.02,1,93.75
Centrum-West,Private room,215,3.48,1,46.333333333333336
De Pijp - Rivierenbuurt,Entire home/apt,10,0.16,1,45.0
Watergraafsmeer,Entire home/apt,26,0.42,1,65.0
Oud-Oost,Entire home/apt,32,0.55,1,182.0
De Pijp - Rivierenbuurt,Entire home/apt,1,0.02,1,51.666666666666664
Oostelijk Havengebied - Indische Buurt,Entire home/apt,24,0.41,1,25.0
De Baarsjes - Oud-West,Entire home/apt,14,0.23,1,60.0
De Baarsjes - Oud-West,Entire home/apt,0,0.0,1,120.0
Centrum-Oost,Entire home/apt,35,0.58,1,158.33333333333334
De Baarsjes - Oud-West,Entire home/apt,25,0.41,1,95.0
Watergraafsmeer,Entire home/apt,77,1.26,1,175.0
Oud-Oost,Entire home/apt,40,0.65,1,70.0
Noord-West,Entire home/apt,17,0.28,1,32.5
Oud-Noord,Entire home/apt,8,0.13,2,43.0
Centrum-Oost,Entire home/apt,18,0.29,1,62.5
Westerpark,Entire home/apt,2,0.04,1,17.8
Bos en Lommer,Private room,19,0.3,1,60.0
Centrum-West,Entire home/apt,87,1.4,1,50.0
De Pijp - Rivierenbuurt,Entire home/apt,28,0.49,1,147.5
Centrum-West,Private room,64,1.03,6,39.5
De Pijp - Rivierenbuurt,Entire home/apt,18,0.29,1,137.5
De Baarsjes - Oud-West,Entire home/apt,13,0.21,1,77.5
De Pijp - Rivierenbuurt,Entire home/apt,10,0.17,1,23.8
Oostelijk Havengebied - Indische Buurt,Private room,191,3.09,1,50.0
